action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,,33943,[],CHEMBL751769,The compound was evaluated for antagonistic activity at P2Y purinoceptor 1 (P2Y1) from guinea pig taenia coli,F,,,BAO_0000190,BAO_0000019,assay format,Nc1c(S(=O)(=O)[O-])cc(Nc2ccc(Nc3nc(Cl)nc(Cl)n3)cc2S(=O)(=O)[O-])c2c1C(=O)c1ccccc1C2=O.[Na+].[Na+],,,CHEMBL1135773,J Med Chem,2002,,CHEMBL133572,,CHEMBL1205686,,0,http://www.openphacts.org/units/Nanomolar,252112,<,1,1,<,,IC50,nM,,1000.0,CHEMBL4315,Homo sapiens,Purinergic receptor P2Y1,9606,,,IC50,uM,UO_0000065,,1.0
,,68995,[],CHEMBL751769,The compound was evaluated for antagonistic activity at P2Y purinoceptor 1 (P2Y1) from guinea pig taenia coli,F,,,BAO_0000190,BAO_0000019,assay format,Cc1cc(C)c(Nc2cc(S(=O)(=O)[O-])c(N)c3c2C(=O)c2ccccc2C3=O)c(C)c1.[Na+],,,CHEMBL1135773,J Med Chem,2002,,CHEMBL133576,ACID BLUE 129,CHEMBL1205687,5.52,0,http://www.openphacts.org/units/Nanomolar,252115,=,1,1,=,,IC50,nM,,3000.0,CHEMBL4315,Homo sapiens,Purinergic receptor P2Y1,9606,,,IC50,uM,UO_0000065,,3.0
,,989362,[],CHEMBL750159,Antagonistic activity against P2Y purinoceptor 1,F,,,BAO_0000190,BAO_0000019,assay format,CNc1nc([Se]C)nc2c1ncn2C1CC(OP(=O)(O)O)[C@]2(COP(=O)(O)O)C[C@H]12,,,CHEMBL1145892,J Med Chem,2003,,CHEMBL356041,,CHEMBL356041,6.42,0,http://www.openphacts.org/units/Nanomolar,285219,=,1,1,=,,IC50,nM,,377.0,CHEMBL4315,Homo sapiens,Purinergic receptor P2Y1,9606,,,IC50,nM,UO_0000065,,377.0
,,989364,[],CHEMBL750159,Antagonistic activity against P2Y purinoceptor 1,F,,,BAO_0000190,BAO_0000019,assay format,CCCCCCc1nc(NC)c2ncn([C@H]3C[C@H](OP(=O)(O)O)[C@]4(COP(=O)(O)O)C[C@H]34)c2n1,,,CHEMBL1145892,J Med Chem,2003,,CHEMBL2112869,,CHEMBL2112869,6.34,0,http://www.openphacts.org/units/Nanomolar,285217,=,1,1,=,,IC50,nM,,452.0,CHEMBL4315,Homo sapiens,Purinergic receptor P2Y1,9606,,,IC50,nM,UO_0000065,,452.0
,,993873,[],CHEMBL750159,Antagonistic activity against P2Y purinoceptor 1,F,,,BAO_0000190,BAO_0000019,assay format,CNc1nc(F)nc2c1ncn2[C@H]1C[C@H](OP(=O)(O)O)[C@]2(COP(=O)(O)O)C[C@H]12,,,CHEMBL1145892,J Med Chem,2003,,CHEMBL2112868,,CHEMBL2112868,6.45,0,http://www.openphacts.org/units/Nanomolar,285220,=,1,1,=,,IC50,nM,,356.0,CHEMBL4315,Homo sapiens,Purinergic receptor P2Y1,9606,,,IC50,nM,UO_0000065,,356.0
,,996429,[],CHEMBL750159,Antagonistic activity against P2Y purinoceptor 1,F,,,BAO_0000190,BAO_0000019,assay format,CNc1ncnc2c1ncn2[C@H]1C[C@H](OP(=O)(O)O)[C@]2(COP(=O)(O)O)C[C@H]12,,,CHEMBL1145892,J Med Chem,2003,,CHEMBL2112863,,CHEMBL2112863,6.80,0,http://www.openphacts.org/units/Nanomolar,285225,=,1,1,=,,IC50,nM,,157.0,CHEMBL4315,Homo sapiens,Purinergic receptor P2Y1,9606,,,IC50,nM,UO_0000065,,157.0
,,996431,[],CHEMBL750159,Antagonistic activity against P2Y purinoceptor 1,F,,,BAO_0000190,BAO_0000019,assay format,CNc1nc(Br)nc2c1ncn2C1CC(OP(=O)(O)O)[C@]2(COP(=O)(O)O)C[C@H]12,,,CHEMBL1145892,J Med Chem,2003,,CHEMBL146342,,CHEMBL146342,7.43,0,http://www.openphacts.org/units/Nanomolar,285222,=,1,1,=,,IC50,nM,,37.0,CHEMBL4315,Homo sapiens,Purinergic receptor P2Y1,9606,,,IC50,nM,UO_0000065,,37.0
,,996433,[],CHEMBL750159,Antagonistic activity against P2Y purinoceptor 1,F,,,BAO_0000190,BAO_0000019,assay format,CNc1nc(C)nc2c1ncn2[C@H]1C[C@H](OP(=O)(O)O)[C@]2(COP(=O)(O)O)C[C@H]12,,,CHEMBL1145892,J Med Chem,2003,,CHEMBL2112867,,CHEMBL2112867,7.31,0,http://www.openphacts.org/units/Nanomolar,285218,=,1,1,=,,IC50,nM,,49.0,CHEMBL4315,Homo sapiens,Purinergic receptor P2Y1,9606,,,IC50,nM,UO_0000065,,49.0
,,997651,[],CHEMBL750159,Antagonistic activity against P2Y purinoceptor 1,F,,,BAO_0000190,BAO_0000019,assay format,CNc1nc(SC)nc2c1ncn2[C@H]1C[C@H](OP(=O)(O)O)[C@]2(COP(=O)(O)O)C[C@H]12,,,CHEMBL1145892,J Med Chem,2003,,CHEMBL2112865,,CHEMBL2112865,6.66,0,http://www.openphacts.org/units/Nanomolar,285223,=,1,1,=,,IC50,nM,,221.0,CHEMBL4315,Homo sapiens,Purinergic receptor P2Y1,9606,,,IC50,nM,UO_0000065,,221.0
,,998943,[],CHEMBL750159,Antagonistic activity against P2Y purinoceptor 1,F,,,BAO_0000190,BAO_0000019,assay format,CSc1nc(N)c2ncn([C@H]3C[C@H](OP(=O)(O)O)[C@]4(COP(=O)(O)O)C[C@H]34)c2n1,,,CHEMBL1145892,J Med Chem,2003,,CHEMBL2112861,,CHEMBL2112861,6.43,0,http://www.openphacts.org/units/Nanomolar,285226,=,1,1,=,,IC50,nM,,367.0,CHEMBL4315,Homo sapiens,Purinergic receptor P2Y1,9606,,,IC50,nM,UO_0000065,,367.0
