molecule_chembl_id,canonical_smiles,standard_value
CHEMBL133572,Nc1c(S(=O)(=O)[O-])cc(Nc2ccc(Nc3nc(Cl)nc(Cl)n3)cc2S(=O)(=O)[O-])c2c1C(=O)c1ccccc1C2=O.[Na+].[Na+],1000.0
CHEMBL133576,Cc1cc(C)c(Nc2cc(S(=O)(=O)[O-])c(N)c3c2C(=O)c2ccccc2C3=O)c(C)c1.[Na+],3000.0
CHEMBL356041,CNc1nc([Se]C)nc2c1ncn2C1CC(OP(=O)(O)O)[C@]2(COP(=O)(O)O)C[C@H]12,377.0
CHEMBL2112869,CCCCCCc1nc(NC)c2ncn([C@H]3C[C@H](OP(=O)(O)O)[C@]4(COP(=O)(O)O)C[C@H]34)c2n1,452.0
CHEMBL2112868,CNc1nc(F)nc2c1ncn2[C@H]1C[C@H](OP(=O)(O)O)[C@]2(COP(=O)(O)O)C[C@H]12,356.0
CHEMBL2112863,CNc1ncnc2c1ncn2[C@H]1C[C@H](OP(=O)(O)O)[C@]2(COP(=O)(O)O)C[C@H]12,157.0
CHEMBL146342,CNc1nc(Br)nc2c1ncn2C1CC(OP(=O)(O)O)[C@]2(COP(=O)(O)O)C[C@H]12,37.0
CHEMBL2112867,CNc1nc(C)nc2c1ncn2[C@H]1C[C@H](OP(=O)(O)O)[C@]2(COP(=O)(O)O)C[C@H]12,49.0
CHEMBL2112865,CNc1nc(SC)nc2c1ncn2[C@H]1C[C@H](OP(=O)(O)O)[C@]2(COP(=O)(O)O)C[C@H]12,221.0
CHEMBL2112861,CSc1nc(N)c2ncn([C@H]3C[C@H](OP(=O)(O)O)[C@]4(COP(=O)(O)O)C[C@H]34)c2n1,367.0
CHEMBL2112866,CCCC/C=C/c1nc(NC)c2ncn([C@H]3C[C@H](OP(=O)(O)O)[C@]4(COP(=O)(O)O)C[C@H]34)c2n1,1870.0
CHEMBL2112007,CCCC/C=C\c1nc(NC)c2ncn([C@H]3C[C@H](OP(=O)(O)O)[C@]4(COP(=O)(O)O)C[C@H]34)c2n1,2400.0
CHEMBL343651,Nc1nc(I)nc2c1ncn2C1CC(OP(=O)(O)O)[C@]2(COP(=O)(O)O)C[C@H]12,87.0
CHEMBL2112864,CNc1nc(Cl)nc2c1ncn2[C@H]1C[C@H](OP(=O)(O)O)[C@]2(COP(=O)(O)O)C[C@H]12,52.0
CHEMBL444278,CNc1nc(I)nc2c1ncn2[C@H]1C[C@H](OP(=O)(O)O)[C@]2(COP(=O)(O)O)C[C@H]12,8.4
CHEMBL435402,CSc1nc(N)c2ncn([C@@H]3O[C@H](COP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]3O)c2n1,360.0
CHEMBL129841,CNc1ncnc2c1ncn2[C@H]1C[C@H](OP(=O)(O)O)[C@@H](COP(=O)(O)O)O1,210.0
CHEMBL413145,O=C(Nc1cccc(C(=O)Nc2cc(C(=O)Nc3ccc(S(=O)(=O)[O-])c4cc(S(=O)(=O)[O-])cc(S(=O)(=O)[O-])c34)ccc2F)c1)Nc1cccc(C(=O)Nc2cc(C(=O)Nc3ccc(S(=O)(=O)[O-])c4cc(S(=O)(=O)[O-])cc(S(=O)(=O)[O-])c34)ccc2F)c1.[Na+].[Na+].[Na+].[Na+].[Na+].[Na+],1819700.86
CHEMBL227235,CNc1nc(I)nc2c1ncn2CC(CP(=O)(O)O)CP(=O)(O)O,790.0
CHEMBL153254,CNc1nc(Cl)nc2c1ncn2CC(CP(=O)(O)O)CP(=O)(O)O,620.0
CHEMBL375022,CNc1nc(I)nc2c1ncn2[C@H]1C[C@H](OP(=O)(O)O)[C@]2(CO)C[C@H]12,1560.0
CHEMBL435930,CNc1nc(-c2ccccc2)nc2c1ncn2[C@H]1C[C@H](OP(=O)(O)O)[C@]2(COP(=O)(O)O)C[C@H]12,1940.0
CHEMBL390149,C#Cc1nc(NC)c2ncn([C@H]3C[C@H](OP(=O)(O)O)[C@]4(COP(=O)(O)O)C[C@H]34)c2n1,93.0
CHEMBL226857,CNc1nc(C(=O)O)nc2c1ncn2[C@H]1C[C@H](OP(=O)(O)O)[C@]2(COP(=O)(O)O)C[C@H]12,870.0
CHEMBL226807,CNc1nc(C(N)=O)nc2c1ncn2[C@H]1C[C@H](OP(=O)(O)O)[C@]2(COP(=O)(O)O)C[C@H]12,1750.0
CHEMBL375682,CNc1nc(C#N)nc2c1ncn2[C@H]1C[C@H](OP(=O)(O)O)[C@]2(COP(=O)(O)O)C[C@H]12,6900.0
CHEMBL399203,O=[N+]([O-])c1cc(O)c2c(c1)S(=O)(=O)N=C(Nc1ccccc1Oc1ccccc1)N2,25000.0
CHEMBL453637,CC[C@@H]1[C@@H](C)[C@H](Nc2ccccc2)c2ccccc2N1C(=O)c1ccc([N+](=O)[O-])cc1,1600.0
CHEMBL473715,COc1ccc(C(=O)N2CC[C@H](Nc3ccccc3)c3ccccc32)cc1,25000.0
CHEMBL473509,COc1ccc(C(=O)N2C[C@@H](C)[C@H](Nc3ccccc3)c3ccccc32)cc1,10000.0
CHEMBL473095,CC[C@@H]1C[C@@H](Nc2ccccc2)c2ccccc2N1C(=O)c1ccc(OC)cc1,25000.0
CHEMBL516508,CC[C@@H]1C[C@H](Nc2ccccc2)c2ccccc2N1C(=O)c1ccc(OC)cc1,3200.0
CHEMBL462373,CC[C@@H]1[C@@H](C)[C@H](Nc2ccccc2)c2ccccc2N1C(=O)Nc1cc(Cl)cc(Cl)c1,600.0
CHEMBL461326,CC[C@@H]1[C@@H](C)[C@H](Nc2ccccc2)c2ccccc2N1C(=O)Nc1cc(OC)cc(OC)c1,800.0
CHEMBL461325,CC[C@@H]1[C@@H](C)[C@H](Nc2ccccc2)c2ccccc2N1C(=O)Nc1ccccc1,1600.0
CHEMBL462369,CC[C@@H]1[C@@H](C)[C@H](Nc2ccccc2)c2ccccc2N1C(=O)Nc1cccc(Br)c1,1000.0
CHEMBL462368,CC[C@@H]1[C@@H](C)[C@H](Nc2ccccc2)c2ccccc2N1C(=O)Nc1ccc(OC)cc1,6000.0
CHEMBL518823,CC[C@@H]1[C@@H](C)[C@H](Nc2ccccc2)c2ccccc2N1C(=O)Nc1cccc(OC)c1,1600.0
CHEMBL462367,CC[C@@H]1[C@@H](C)[C@H](Nc2ccccc2)c2ccccc2N1C(=O)Nc1ccc(Cl)cc1,2000.0
CHEMBL454913,CC[C@@H]1[C@@H](C)[C@H](Nc2ccccc2)c2ccccc2N1C(=O)Nc1cccc(Cl)c1,1000.0
CHEMBL454911,CC[C@@H]1[C@@H](C)[C@H](Nc2ccccc2)c2ccccc2N1C(=O)Nc1ccccc1Cl,25000.0
CHEMBL509206,CC[C@@H]1[C@@H](C)[C@H](Nc2ccccc2)c2ccccc2N1C(=O)c1ccccc1,25000.0
CHEMBL454910,CC[C@@H]1[C@@H](C)[C@H](Nc2ccccc2)c2ccccc2N1C(=O)c1ccc(Br)cc1,800.0
CHEMBL518042,CC[C@@H]1[C@@H](C)[C@H](Nc2ccccc2)c2ccccc2N1C(=O)c1ccc(OC(F)(F)F)cc1,1000.0
CHEMBL461532,CC[C@@H]1[C@@H](C)[C@H](Nc2ccccc2)c2ccccc2N1C(=O)c1ccc(Cl)cc1,1300.0
CHEMBL518040,CC[C@@H]1[C@@H](C)[C@H](Nc2ccccc2)c2ccccc2N1C(=O)c1ccc(OC)cc1,800.0
CHEMBL461356,CC[C@@H]1[C@@H](C)[C@H](Nc2ccccc2)c2ccccc2N1C(=O)c1cccc(OC(F)(F)F)c1,25000.0
CHEMBL454669,CC[C@@H]1[C@@H](C)[C@H](N(C)c2ccccc2)c2ccccc2N1C(=O)c1ccc(OC)cc1,25000.0
CHEMBL473716,CC[C@H]1[C@H](C)[C@@H](Nc2ccccc2)c2ccccc2N1C(=O)Nc1cc(Cl)cc(Cl)c1,25000.0
CHEMBL1096400,CNc1ncnc2c1ncn2[C@H]1C[C@H](OP(=O)(O)O)[C@@H](COP(=O)(O)O)O1.N.N,508.0
CHEMBL1169986,O=C(Nc1ccc(OC(F)(F)F)cc1)Nc1cccc2cc(-c3cccc(C(F)(F)F)c3)oc12,25000.0
CHEMBL1172138,O=C(Nc1ccc(OC(F)(F)F)cc1)Nc1cccc2cc(-c3ccccc3C(F)(F)F)oc12,6300.0
CHEMBL1172139,CC(C)c1ccccc1-c1cc2cccc(NC(=O)Nc3ccc(OC(F)(F)F)cc3)c2o1,4000.0
CHEMBL1170183,CC(C)(C)c1ccccc1-c1cc2cccc(NC(=O)Nc3ccc(OC(F)(F)F)cc3)c2o1,4000.0
CHEMBL1172141,O=C(Nc1ccc(OC(F)(F)F)cc1)Nc1cccc2cc(-c3ccccc3Cl)oc12,25000.0
CHEMBL1172338,CC(C)Oc1ccccc1-c1cc2cccc(NC(=O)Nc3ccc(OC(F)(F)F)cc3)c2o1,25000.0
CHEMBL1172339,Cc1ccc(NC(=O)Nc2cccc3cc(-c4ccccc4C(C)C)oc23)cc1C(F)(F)F,1600.0
CHEMBL1169909,CCCCCc1ccc(NC(=O)Nc2cccc3cc(-c4ccccc4C(C)C)oc23)cc1,630.0
CHEMBL1172466,CC(C)c1ccccc1-c1cc2cccc(NC(=O)Nc3ccc(C(C)(C)C)cc3)c2o1,1300.0
CHEMBL1170327,CCCCOc1ccc(NC(=O)Nc2cccc3cc(-c4ccccc4C(C)C)oc23)cc1,2000.0
CHEMBL1170328,CC(C)c1ccccc1-c1cc2cccc(NC(=O)Nc3ccc(Cl)cc3)c2o1,2000.0
CHEMBL1171352,CC(C)c1ccccc1-c1cc2cccc(NC(=O)Nc3ccc(N(C)C)cc3)c2o1,15800.0
CHEMBL1171536,CC(C)c1ccccc1-c1cc2cccc(NC(=O)Nc3cccc(C(F)(F)F)c3)c2o1,5000.0
CHEMBL1518422,Cc1noc(NS(=O)(=O)c2ccc(NC(=O)Nc3ccc(Cl)c(Cl)c3)cc2)c1C,140.0
CHEMBL2071539,Cc1ccc(NC(=O)Nc2ccc(S(=O)(=O)Nc3onc(C)c3C)cc2)cc1C,130.0
CHEMBL3103623,O=C(Nc1ccc(OC(F)(F)F)cc1)Nc1cccnc1-c1cc2ccccc2[nH]1,227.0
CHEMBL3103624,O=C(Nc1ccc(OC(F)(F)F)cc1)Nc1ccccc1-c1cc2ccccc2[nH]1,75.0
CHEMBL3104632,CN1CCC2(CC1)CN(c1ccccc1NC(=O)Nc1ccc(OC(F)(F)F)cc1)c1ccccc12,
CHEMBL3104631,CC(C)NC(=O)N1CCC2(CC1)CN(c1ccccc1NC(=O)Nc1ccc(OC(F)(F)F)cc1)c1ccccc12,
